cat,pid,p_name,cpu,disk,ram,bandwidth,bps,price,period,aff
Shared Hosting,81,RackNerd Shared Hosting - 30GB,,30 GB,,2TB,,5.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=81
Shared Hosting,82,RackNerd Shared Hosting - 100GB,,100 GB,,3TB,,9.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=82
Shared Hosting,83,RackNerd Shared Hosting - 200GB,,200 GB,,5TB,,15.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=83
Reseller Hosting,659,cPanel Reseller Hosting - 40GB,,40 GB,,2 TB,,14.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=659
Reseller Hosting,660,cPanel Reseller Hosting - 100GB,,100 GB,,,,22.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=660
Reseller Hosting,661,cPanel Reseller Hosting - 200GB,,200 GB,,,,36.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=661
KVM VPS,570,KVM 512MB,1x vCPU Core,15 GB,512MB,500GB,,22.99,Annually,https://my.racknerd.com/aff.php?aff=12682&pid=570
KVM VPS,20,KVM-1GB,2x vCPU Core,50 GB,1024MB,1000GB,,17.99,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=20
KVM VPS,21,KVM-2GB,3x vCPU Core,75 GB,2048MB,2000GB,,20.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=21
KVM VPS,22,KVM-4GB,4x vCPU Core,130 GB,4096MB,3000GB,,24.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=22
KVM VPS,23,KVM-6GB,5x vCPU Core,170 GB,6144MB,4000GB,,27.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=23
KVM VPS,25,KVM-12GB,7x vCPU Core,300 GB,12288MB,6000GB,,55.99,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=25
KVM VPS,24,KVM-8GB,6x vCPU Core,220 GB,8192MB,5000GB,,36.59,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=24
Hybrid Dedicated Servers,4,Dual E5-2690 | 4 GB RAM,,,4 GB,5TB,,39.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=4
Hybrid Dedicated Servers,5,Dual E5-2690 | 8 GB RAM,,,8 GB,5TB,,59.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=5
Hybrid Dedicated Servers,6,Dual E5-2690 | 16 GB RAM,,,16 GB,10TB,,79.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=6
Hybrid Dedicated Servers,7,Dual E5-2690 | 32 GB RAM,,,32 GB,10TB,,99.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=7
Colocation,8,Single Server Colocation,,,,10TB,,179.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=8
Colocation,9,Quarter Rack Colocation,,,,30TB,,599.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=9
Colocation,10,Half Rack Colocation,,,,100TB,,999.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=10
Dedicated Servers,12,Intel Xeon E3-1230 v2 | 16GB RAM | 480 GB SSD,,16 GB,16 GB,35 TB,,139.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=12
Dedicated Servers,869,Intel Xeon E3-1270 v3 | 32GB RAM | 2x 1TB SSD,,32 GB,32 GB,35 TB,,169.00,Monthly,https://my.racknerd.com/aff.php?aff=12682&pid=869
